ms,s,p,v,dv0,dv1,dv2,dv3,sum
611,0.611,-4.27,0.0,0.58,0.0,0.0,0.21,0.7899999999999999
710,0.71,0.24,2.18,0.64,0.0,0.0,0.21,0.85
811,0.811,-4.27,0.0,0.6,0.0,0.0,0.32,0.9199999999999999
910,0.91,-0.68,0.0,0.59,0.0,0.0,0.33,0.9199999999999999
1009,1.009,1.2,4.9,0.65,0.0,0.0,0.16,0.81
1110,1.11,0.18,1.92,0.57,0.0,0.0,0.27,0.84
1210,1.21,-0.26,0.0,0.63,0.0,0.0,0.28,0.91
1309,1.309,1.31,5.14,0.54,0.0,0.0,0.24,0.78
1410,1.41,-4.05,0.0,0.66,0.0,0.0,0.3,0.96
1509,1.509,-1.31,0.0,0.6,0.0,0.0,0.25,0.85
1608,1.608,-2.58,0.0,0.63,0.0,0.0,0.24,0.87
1708,1.708,-4.27,0.0,0.63,0.0,0.0,0.28,0.91
1807,1.807,-1.1,0.0,0.6,0.0,0.0,0.29,0.8899999999999999
1906,1.906,1.48,5.45,0.63,0.0,0.0,0.19,0.8200000000000001
2010,2.01,-2.15,0.0,0.58,0.0,0.0,0.35,0.9299999999999999
2109,2.109,-0.68,0.0,0.61,0.0,0.0,0.34,0.95
2207,2.207,1.03,4.55,0.65,0.0,0.0,0.16,0.81
2306,2.306,-4.27,0.0,0.62,0.0,0.0,0.31,0.9299999999999999
2404,2.404,0.68,3.71,0.53,0.0,0.0,0.18,0.71
2502,2.502,0.35,2.67,0.6,0.0,0.0,0.09,0.69
2601,2.601,0.47,3.06,0.67,0.0,0.0,0.04,0.7100000000000001
2700,2.7,0.18,1.92,0.62,0.0,0.0,0.21,0.83
2798,2.798,-3.42,0.0,0.55,0.07,0.0,0.37,0.9900000000000001
2896,2.896,-2.15,0.0,0.53,0.0,0.0,0.31,0.8400000000000001
2995,2.995,0.52,3.25,0.65,0.0,0.0,0.17,0.8200000000000001
3093,3.093,-4.27,0.0,0.61,0.0,0.0,0.21,0.82
3191,3.191,0.35,2.67,0.59,0.0,0.0,0.28,0.87
3290,3.29,-1.74,0.0,0.62,0.0,0.0,0.3,0.9199999999999999
3390,3.39,-0.26,0.0,0.64,0.0,0.0,0.31,0.95
3488,3.488,-2.58,0.0,0.61,0.0,0.0,0.38,0.99
3587,3.587,-1.1,0.0,0.63,0.0,0.0,0.19,0.8200000000000001
3685,3.685,0.92,4.29,0.77,0.0,0.0,0.38,1.15
3783,3.783,-4.27,0.0,0.78,0.0,0.07,0.27,1.12
3883,3.883,-4.27,0.0,0.72,0.0,0.0,0.28,1.0
3981,3.981,0.63,3.57,0.71,0.0,0.0,0.34,1.05
4079,4.079,1.48,5.46,0.58,0.0,0.07,0.24,0.8899999999999999
4177,4.177,-0.68,0.0,0.6,0.0,0.0,0.33,0.9299999999999999
4276,4.276,0.12,1.58,0.63,0.0,0.06,0.4,1.0899999999999999
4374,4.374,0.24,2.18,0.64,0.0,0.0,0.18,0.8200000000000001
4472,4.472,-4.27,0.0,0.63,0.0,0.0,0.26,0.89
4571,4.571,0.75,3.88,0.63,0.0,0.0,0.22,0.85
4669,4.669,-2.15,0.0,0.56,0.0,0.0,0.31,0.8700000000000001
4767,4.767,-4.27,0.0,0.55,0.0,0.0,0.3,0.8500000000000001
4868,4.868,0.69,3.72,0.59,0.01,0.0,0.37,0.97
4966,4.966,-3.21,0.0,0.54,0.0,0.0,0.67,1.21
5064,5.064,-1.1,0.0,0.82,0.04,0.15,0.23,1.24
5163,5.163,1.83,6.06,0.73,0.73,0.0,0.19,1.65
5261,5.261,0.98,4.43,0.58,0.53,0.03,0.49,1.63
5359,5.359,-4.27,0.0,0.78,0.81,0.08,0.45,2.12
5457,5.457,2.05,6.41,0.58,0.99,0.18,0.8,2.55
5556,5.556,-2.58,0.0,0.62,0.96,0.23,0.97,2.7800000000000002
5654,5.654,0.75,3.88,0.75,0.84,0.25,1.03,2.87
5752,5.752,2.22,6.67,0.61,0.94,0.24,1.03,2.82
5851,5.851,-2.58,0.0,0.63,0.97,0.19,1.02,2.81
5949,5.949,-4.27,0.0,0.75,0.84,0.35,1.09,3.0300000000000002
6047,6.047,0.86,4.16,0.67,0.95,0.3,1.07,2.99
6146,6.146,-0.08,0.0,0.64,0.91,0.1,0.99,2.64
6247,6.247,-2.79,0.0,0.66,0.9,0.2,1.0,2.76
6345,6.345,-4.27,0.0,0.59,0.85,0.25,1.08,2.77
6444,6.444,0.69,3.73,0.64,0.87,0.21,0.97,2.69
6542,6.542,0.75,3.87,0.64,0.89,0.24,1.03,2.8
6640,6.64,-4.05,0.0,0.63,0.86,0.25,1.03,2.77
6739,6.739,-4.27,0.0,0.6,0.87,0.23,1.01,2.71
6838,6.838,-0.47,0.0,0.63,0.94,0.25,1.08,2.9
6936,6.936,-2.37,0.0,0.63,0.94,0.25,1.08,2.9
7034,7.034,-0.69,0.0,0.63,0.88,0.21,1.01,2.73
7133,7.133,-4.27,0.0,0.69,0.93,0.19,0.96,2.77
7231,7.231,0.92,4.29,0.67,0.93,0.25,1.01,2.8600000000000003
7329,7.329,1.54,5.57,0.7,0.87,0.31,1.06,2.94
7428,7.428,0.18,1.92,0.74,0.98,0.33,1.08,3.13
7527,7.527,2.73,7.41,0.69,0.88,0.31,1.08,2.96
7628,7.628,-4.27,0.0,0.61,0.95,0.25,1.1,2.91
7727,7.727,1.77,5.97,0.64,0.9,0.26,1.03,2.83
7825,7.825,1.08,4.67,0.6,0.92,0.26,1.09,2.87
7923,7.923,-0.47,0.0,0.65,0.91,0.25,1.07,2.88
8022,8.022,0.12,1.58,0.62,0.86,0.27,1.05,2.8
8120,8.12,1.43,5.36,0.61,0.85,0.23,1.02,2.71
8219,8.219,-4.27,0.0,0.58,0.86,0.21,1.0,2.65
8318,8.318,0.58,3.41,0.58,0.99,0.18,1.03,2.78
8417,8.417,-4.27,0.0,0.65,0.91,0.53,1.03,3.12
8515,8.515,2.05,6.42,0.68,0.88,0.06,0.93,2.5500000000000003
8613,8.613,-4.27,0.0,0.66,0.86,0.37,1.05,2.9400000000000004
8712,8.712,-1.1,0.0,0.71,0.96,0.31,1.1,3.08
8810,8.81,0.86,4.16,0.61,0.88,0.3,1.09,2.88
8908,8.908,-1.1,0.0,0.61,0.86,0.27,1.12,2.8600000000000003
9010,9.01,-4.27,0.0,0.63,0.88,0.27,1.08,2.8600000000000003
9108,9.108,-0.69,0.0,0.63,0.88,0.24,1.03,2.7800000000000002
